id,rho_ODE,x,y,z
420,-2.4268798981097e-05,-1.78975,0,0
421,-2.4268798938465e-05,-1.78925,0,0
422,-2.4268798938465e-05,-1.78875,0,0
423,-2.4268798938465e-05,-1.78825,0,0
424,-2.4268798938465e-05,-1.78775,0,0
425,-2.4268798938465e-05,-1.78725,0,0
426,-2.4268798938465e-05,-1.78675,0,0
427,-2.4268798938465e-05,-1.78625,0,0
428,-2.4268798938465e-05,-1.78575,0,0
429,-2.4268798938465e-05,-1.78525,0,0
430,-2.4268798895832e-05,-1.78475,0,0
431,-2.4268798938465e-05,-1.78425,0,0
432,-2.4268798981097e-05,-1.78375,0,0
433,-2.4268798938465e-05,-1.78325,0,0
434,-2.4268798895832e-05,-1.78275,0,0
435,-2.4268798938465e-05,-1.78225,0,0
436,-2.4268798938465e-05,-1.78175,0,0
437,-2.4268798981097e-05,-1.78125,0,0
438,-2.4268798981097e-05,-1.78075,0,0
439,-2.4268798895832e-05,-1.78025,0,0
440,-2.4268798938465e-05,-1.77975,0,0
441,-2.4268798938465e-05,-1.77925,0,0
442,-2.4268798981097e-05,-1.77875,0,0
443,-2.4268798938465e-05,-1.77825,0,0
444,-2.4268798938465e-05,-1.77775,0,0
445,-2.4268798938465e-05,-1.77725,0,0
446,-2.4268798981097e-05,-1.77675,0,0
447,-2.4268798895832e-05,-1.77625,0,0
448,-2.4268798981097e-05,-1.77575,0,0
449,-2.4268798938465e-05,-1.77525,0,0
450,-2.4268798981097e-05,-1.77475,0,0
451,-2.4268798895832e-05,-1.77425,0,0
452,-2.4268798938465e-05,-1.77375,0,0
453,-2.4268798938465e-05,-1.77325,0,0
454,-2.426879902373e-05,-1.77275,0,0
455,-2.4268798938465e-05,-1.77225,0,0
456,-2.4268798895832e-05,-1.77175,0,0
457,-2.4268798938465e-05,-1.77125,0,0
458,-2.4268798938465e-05,-1.77075,0,0
459,-2.426879902373e-05,-1.77025,0,0
460,-2.4268798895832e-05,-1.76975,0,0
461,-2.4268798895832e-05,-1.76925,0,0
462,-2.4268798938465e-05,-1.76875,0,0
463,-2.4268798981097e-05,-1.76825,0,0
464,-2.4268798895832e-05,-1.76775,0,0
465,-2.4268798938465e-05,-1.76725,0,0
466,-2.4268798938465e-05,-1.76675,0,0
467,-2.4268798981097e-05,-1.76625,0,0
468,-2.4268798895832e-05,-1.76575,0,0
469,-2.4268798938465e-05,-1.76525,0,0
470,-2.4268798938465e-05,-1.76475,0,0
471,-2.426879902373e-05,-1.76425,0,0
472,-2.4268798938465e-05,-1.76375,0,0
473,-2.4268798895832e-05,-1.76325,0,0
474,-2.4268798938465e-05,-1.76275,0,0
475,-2.4268798981097e-05,-1.76225,0,0
476,-2.4268798981097e-05,-1.76175,0,0
477,-2.4268798895832e-05,-1.76125,0,0
478,-2.4268798895832e-05,-1.76075,0,0
479,-2.4268798981097e-05,-1.76025,0,0
480,-2.4268798938465e-05,-1.75975,0,0
481,-2.4268798938465e-05,-1.75925,0,0
482,-2.4268798981097e-05,-1.75875,0,0
483,-2.4268798981097e-05,-1.75825,0,0
484,-2.4268798938465e-05,-1.75775,0,0
485,-2.4268798895832e-05,-1.75725,0,0
486,-2.4268798895832e-05,-1.75675,0,0
487,-2.4268798981097e-05,-1.75625,0,0
488,-2.4268798981097e-05,-1.75575,0,0
489,-2.4268798938465e-05,-1.75525,0,0
490,-2.4268798938465e-05,-1.75475,0,0
491,-2.4268798938465e-05,-1.75425,0,0
492,-2.4268798981097e-05,-1.75375,0,0
493,-2.4268798938465e-05,-1.75325,0,0
494,-2.4268798938465e-05,-1.75275,0,0
495,-2.4268798938465e-05,-1.75225,0,0
496,-2.4268798981097e-05,-1.75175,0,0
497,-2.4268798938465e-05,-1.75125,0,0
498,-2.4268798895832e-05,-1.75075,0,0
499,-2.4268798981097e-05,-1.75025,0,0
500,-2.4268798981097e-05,-1.74975,0,0
501,-2.4268798938465e-05,-1.74925,0,0
502,-2.4268798938465e-05,-1.74875,0,0
503,-2.4268798938465e-05,-1.74825,0,0
504,-2.4268798981097e-05,-1.74775,0,0
505,-2.426879902373e-05,-1.74725,0,0
506,-2.4268798895832e-05,-1.74675,0,0
507,-2.4268798938465e-05,-1.74625,0,0
508,-2.4268798981097e-05,-1.74575,0,0
509,-2.4268798938465e-05,-1.74525,0,0
510,-2.4268798981097e-05,-1.74475,0,0
511,-2.4268798895832e-05,-1.74425,0,0
512,-2.4268798981097e-05,-1.74375,0,0
513,-2.4268798981097e-05,-1.74325,0,0
514,-2.4268798938465e-05,-1.74275,0,0
515,-2.4268798895832e-05,-1.74225,0,0
516,-2.4268798981097e-05,-1.74175,0,0
517,-2.4268798981097e-05,-1.74125,0,0
518,-2.4268798938465e-05,-1.74075,0,0
519,-2.4268798895832e-05,-1.74025,0,0
520,-2.4268798938465e-05,-1.73975,0,0
521,-2.4268798981097e-05,-1.73925,0,0
522,-2.4268798938465e-05,-1.73875,0,0
523,-2.4268798895832e-05,-1.73825,0,0
524,-2.4268798938465e-05,-1.73775,0,0
525,-2.4268798981097e-05,-1.73725,0,0
526,-2.426879902373e-05,-1.73675,0,0
527,-2.4268798895832e-05,-1.73625,0,0
528,-2.4268798938465e-05,-1.73575,0,0
529,-2.4268798938465e-05,-1.73525,0,0
530,-2.4268798981097e-05,-1.73475,0,0
531,-2.4268798938465e-05,-1.73425,0,0
532,-2.4268798938465e-05,-1.73375,0,0
533,-2.4268798938465e-05,-1.73325,0,0
534,-2.4268798938465e-05,-1.73275,0,0
535,-2.4268798938465e-05,-1.73225,0,0
536,-2.4268798895832e-05,-1.73175,0,0
537,-2.4268798938465e-05,-1.73125,0,0
538,-2.4268798981097e-05,-1.73075,0,0
539,-2.4268798938465e-05,-1.73025,0,0
540,-2.4268798895832e-05,-1.72975,0,0
541,-2.4268798938465e-05,-1.72925,0,0
542,-2.4268798938465e-05,-1.72875,0,0
543,-2.4268798981097e-05,-1.72825,0,0
544,-2.4268798895832e-05,-1.72775,0,0
545,-2.4268798895832e-05,-1.72725,0,0
546,-2.4268798981097e-05,-1.72675,0,0
547,-2.4268798938465e-05,-1.72625,0,0
548,-2.4268798938465e-05,-1.72575,0,0
549,-2.4268798938465e-05,-1.72525,0,0
550,-2.4268798938465e-05,-1.72475,0,0
551,-2.4268798981097e-05,-1.72425,0,0
552,-2.4268798938465e-05,-1.72375,0,0
553,-2.4268798938465e-05,-1.72325,0,0
554,-2.4268798938465e-05,-1.72275,0,0
555,-2.426879902373e-05,-1.72225,0,0
